audience_freshness,poster_url,rt_audience_score,rt_freshness,rt_score,2015_inflation,adjusted,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,title,worldwide_gross,year
85,https://resizing.flixster.com/UFoFQEayDyhzauy9wL-1wGTuKJA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/21/11172174_ori.jpg,4.2,74,6.6,1.36%,"$983,938,347.10","Family
Comedy
Animation",Family,Comedy,Animation,7.5,98,3,PG,03-Jul-13,Universal / Illumination,Despicable Me 2,"$970,761,885.00",2013
84,https://resizing.flixster.com/FsHv4OrR7Fk9IQkc3Jg-Npmypzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/33/11173373_ori.jpg,4.2,69,6.2,1.36%,"$799,384,854.30","Thriller
Crime
Action",Thriller,Crime,Action,7.2,130,6,PG-13,24-May-13,Universal,Fast & Furious 6,"$788,679,850.00",2013
86,https://resizing.flixster.com/M3JgYWjuLaOPruIuhLfHA0GwmtY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/35/11173584_ori.jpg,4.3,89,7.7,1.36%,"$1,291,514,391.87","Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.7,102,1,PG,27-Nov-13,Walt Disney Pictures,Frozen,"$1,274,219,009.00",2013
80,https://resizing.flixster.com/5CbtiBSzqVjH_ckRVfzJvs-Ocns=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176450_ori.jpg,4,97,9,1.36%,"$726,116,532.72","Thriller
Sci-Fi
Western",Thriller,Sci-Fi,Western,7.9,91,8,PG-13,04-Oct-13,Warner Bros.,Gravity,"$716,392,705.00",2013
79,https://resizing.flixster.com/M8S0ACxWUYK8FJV9hJwnDGK41ZA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/05/11170594_ori.jpg,4,79,7,1.36%,"$1,231,937,550.46","Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.3,130,2,PG-13,03-May-13,Marvel Studios,Iron Man 3,"$1,215,439,994.00",2013
76,https://resizing.flixster.com/YdjyBNFfxu1P1f06WcVgadZg8Ow=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/42/11174287_ori.jpg,3.9,56,6.2,1.36%,"$677,113,113.86","Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.2,143,9,PG-13,14-Jun-13,Warner Bros. / Legendary,Man of Steel,"$668,045,518.00",2013
82,https://resizing.flixster.com/68fO9SugBdM8ljYJJ32dYp0bs7Q=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/99/11169964_ori.jpg,4,78,6.8,1.36%,"$753,652,179.78","Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.4,104,7,G,21-Jun-13,Walt Disney Pictures / Pixar,Monsters University,"$743,559,607.00",2013
86,https://resizing.flixster.com/i3zwngMY9umqr8lAJLKAU4aYlAU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/69/11176940_ori.jpg,4.1,74,6.8,1.36%,"$973,402,222.02","Fantasy
Adventure",Fantasy,Adventure,,8,161,4,PG-13,13-Dec-13,Warner Bros. / New Line / MGM,The Hobbit: The Desolation of Smaug,"$960,366,855.00",2013
90,https://resizing.flixster.com/1a9avHqIjVssHwO097tB_XJMVjs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176484_ori.jpg,4.3,89,7.5,1.36%,"$876,652,703.76","Adventure
Sci-Fi",Adventure,Sci-Fi,,7.7,146,5,PG-13,22-Nov-13,Lionsgate,The Hunger Games: Catching Fire,"$864,912,963.00",2013
78,https://resizing.flixster.com/sLeSlSjBR_h2MiaJIA63bgyOeHI=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/26/11172694_ori.jpg,3.9,65,6.2,1.36%,"$653,534,988.15","Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.1,112,10,PG-13,08-Nov-13,Marvel Studios,Thor: The Dark World,"$644,783,140.00",2013
62,https://resizing.flixster.com/EhgnWr8tKMra_jgh43zALuCZ9Ig=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176781_ori.jpg,3.6,37,5.1,2.84%,"$902,175,843.80","Comedy
Animation
Adventure",Comedy,Animation,Adventure,6.7,88,5,PG,13-Jul-12,Fox / Blue Sky,Ice Age: Continental Drift,"$877,244,782.00",2012
73,https://resizing.flixster.com/GMpkHH7EAcYqczhR8C146yEFbMs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169148_ori.jpg,3.8,79,6.8,2.84%,"$768,148,576.60","Comedy
Adventure
Animation",Comedy,Adventure,Animation,7,93,8,PG,08-Jun-12,Paramount / DreamWorks,Madagascar 3: Europe's Most Wanted,"$746,921,274.00",2012
71,https://resizing.flixster.com/aD0vhqdMHlg0_H5kGKx7lR_1LHU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168038_ori.jpg,3.8,69,6.1,2.84%,"$641,761,449.87","Sci-Fi
Comedy
Action",Sci-Fi,Comedy,Action,6.9,106,10,PG-13,25-May-12,Columbia,Men in Black 3,"$624,026,776.00",2012
86,https://resizing.flixster.com/r-jHJnq7IkHekLIFY6DWq7SzqZ8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/82/11168295_ori.jpg,4.1,92,8.2,2.84%,"$1,140,066,020.14","Thriller
Adventure
Action",Thriller,Adventure,Action,7.8,143,2,PG-13,09-Nov-12,MGM / Columbia,Skyfall,"$1,108,561,013.00",2012
77,https://resizing.flixster.com/NPbllUZcrY9PEkGNHGxKBIgFdq8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167406_ori.jpg,3.9,72,6.7,2.84%,"$779,470,849.49","Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.1,136,7,PG-13,03-Jul-12,Columbia,The Amazing Spider-Man,"$757,930,663.00",2012
91,https://resizing.flixster.com/OmSu9IRUNKgrdmyE2uNhf0f0ToE=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/38/11163886_ori.jpg,4.4,92,8,2.84%,"$1,561,752,970.70","Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.2,143,1,PG-13,04-May-12,Marvel Studios,The Avengers,"$1,518,594,910.00",2012
90,https://resizing.flixster.com/_7NLUQGoKyQuOq7uhhARpzeku04=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/78/11167835_ori.jpg,4.3,87,8,2.84%,"$1,115,258,567.81","Thriller
Action",Thriller,Action,,8.5,165,3,PG-13,20-Jul-12,Warner Bros. / Legendary,The Dark Knight Rises,"$1,084,439,099.00",2012
83,https://resizing.flixster.com/vUOEhpcoaWV4JU5YM2dnlgTRyFo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/02/11170263_ori.jpg,4.1,64,6.6,2.84%,"$1,045,906,537.07","Fantasy
Adventure",Fantasy,Adventure,,8,169,4,PG-13,14-Dec-12,Warner Bros. / MGM / New Line,The Hobbit: An Unexpected Journey,"$1,017,003,568.00",2012
81,https://resizing.flixster.com/ojHrfHgQ7Z6zwJ9O0GlmvI_Y-6Y=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173667_ori.jpg,4.1,84,7.2,2.84%,"$710,892,844.47","Sci-Fi
Adventure",Sci-Fi,Adventure,,7.3,142,9,PG-13,23-Mar-12,Lionsgate,The Hunger Games,"$691,247,768.00",2012
